purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
100,61264,62136,100,1.625
100,60413,123400,200,1.645
100,59582,183813,300,1.67
100,58772,243395,400,1.69
100,57981,302167,500,1.715
100,57211,360148,600,1.74
100,56457,417359,700,1.76
100,55723,473816,800,1.785
100,55005,529539,900,1.81
100,54304,584544,1000,1.83
100,53620,638848,1100,1.855
100,52950,692468,1200,1.88
100,52297,745418,1300,1.905
100,51658,797715,1400,1.925
100,51034,849373,1500,1.95
100,50423,900407,1600,1.975
100,49827,950830,1700,2
100,49242,1000657,1800,2.02
100,48671,1049899,1900,2.045
100,48113,1098570,2000,2.07
100,47565,1146683,2100,2.09
100,47031,1194248,2200,2.115
100,46507,1241279,2300,2.14
100,45995,1287786,2400,2.165
100,45492,1333781,2500,2.19
100,45001,1379273,2600,2.215
100,44520,1424274,2700,2.235
100,44048,1468794,2800,2.26
100,43586,1512842,2900,2.285
100,43134,1556428,3000,2.31
100,42690,1599562,3100,2.33
100,42255,1642252,3200,2.355
100,41830,1684507,3300,2.38
100,41411,1726337,3400,2.405
100,41003,1767748,3500,2.43
100,40601,1808751,3600,2.455
100,40207,1849352,3700,2.475
100,39820,1889559,3800,2.5
100,39442,1929379,3900,2.525
100,39071,1968821,4000,2.55
100,38705,2007892,4100,2.575
100,38348,2046597,4200,2.6
100,37996,2084945,4300,2.62
100,37652,2122941,4400,2.65
100,37314,2160593,4500,2.67
100,36981,2197907,4600,2.695
100,36655,2234888,4700,2.72
100,36334,2271543,4800,2.74
100,36020,2307877,4900,2.765
100,35711,2343897,5000,2.79
100,35408,2379608,5100,2.815
100,35109,2415016,5200,2.84
100,34816,2450125,5300,2.865
100,34529,2484941,5400,2.89
100,34246,2519470,5500,2.91
100,33967,2553716,5600,2.935
100,33695,2587683,5700,2.96
100,33425,2621378,5800,2.98
100,33162,2654803,5900,3.005
100,32902,2687965,6000,3.03
100,32647,2720867,6100,3.055
100,32396,2753514,6200,3.075
100,32149,2785910,6300,3.1
100,31906,2818059,6400,3.125
100,31667,2849965,6500,3.145
100,31432,2881632,6600,3.17
100,31201,2913064,6700,3.195
100,30974,2944265,6800,3.22
100,30749,2975239,6900,3.24
100,30530,3005988,7000,3.27
100,30313,3036518,7100,3.29
100,30099,3066831,7200,3.31
100,29890,3096930,7300,3.335
100,29682,3126820,7400,3.36
100,29479,3156502,7500,3.385
100,29279,3185981,7600,3.41
100,29082,3215260,7700,3.43
100,28887,3244342,7800,3.45
100,28696,3273229,7900,3.475
100,28507,3301925,8000,3.5
100,28322,3330432,8100,3.525
100,28139,3358754,8200,3.545
100,27959,3386893,8300,3.57
100,27781,3414852,8400,3.59
100,27607,3442633,8500,3.615
100,27434,3470240,8600,3.635
100,27265,3497674,8700,3.66
100,27097,3524939,8800,3.68
100,26933,3552036,8900,3.705
100,26770,3578969,9000,3.725
100,26610,3605739,9100,3.75
100,26452,3632349,9200,3.77
100,26296,3658801,9300,3.795
100,26143,3685097,9400,3.82
100,25992,3711240,9500,3.84
100,25842,3737232,9600,3.86
100,25696,3763074,9700,3.885
100,25550,3788770,9800,3.905
100,25407,3814320,9900,3.93
100,25267,3839727,10000,3.95
100,25127,3864994,10100,3.97
100,24990,3890121,10200,3.99
100,24854,3915111,10300,4.015
100,24721,3939965,10400,4.035
100,24589,3964686,10500,4.06
100,24459,3989275,10600,4.08
100,24331,4013734,10700,4.105
100,24204,4038065,10800,4.125
100,24079,4062269,10900,4.145
100,23956,4086348,11000,4.17
100,23835,4110304,11100,4.19
100,23714,4134139,11200,4.21
100,23596,4157853,11300,4.23
100,23479,4181449,11400,4.25
100,23363,4204928,11500,4.27
100,23249,4228291,11600,4.295
100,23137,4251540,11700,4.315
100,23026,4274677,11800,4.335
100,22915,4297703,11900,4.355
100,22808,4320618,12000,4.38
100,22700,4343426,12100,4.4
100,22595,4366126,12200,4.42
100,22491,4388721,12300,4.44
100,22387,4411212,12400,4.46
100,22286,4433599,12500,4.48
