purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
100,88416,90950,100,1.111
100,85995,179366,200,1.144
100,83679,265361,300,1.177
100,81465,349040,400,1.21
100,79346,430505,500,1.243
100,77315,509851,600,1.276
100,75369,587166,700,1.309
100,73504,662535,800,1.342
100,71712,736039,900,1.375
100,69994,807751,1000,1.408
100,68343,877745,1100,1.448
100,66755,946088,1200,1.481
100,65230,1012843,1300,1.514
100,63761,1078073,1400,1.547
100,62348,1141834,1500,1.587
100,60987,1204182,1600,1.62
100,59676,1265169,1700,1.66
100,58412,1324845,1800,1.693
100,57193,1383257,1900,1.726
100,56017,1440450,2000,1.766
100,54882,1496467,2100,1.799
100,53786,1551349,2200,1.839
100,52728,1605135,2300,1.879
100,51705,1657863,2400,1.912
100,50716,1709568,2500,1.952
100,49759,1760284,2600,1.992
100,48835,1810043,2700,2.025
100,47938,1858878,2800,2.065
100,47073,1906816,2900,2.105
100,46232,1953889,3000,2.145
100,45420,2000121,3100,2.185
100,44631,2045541,3200,2.218
100,43867,2090172,3300,2.258
100,43126,2134039,3400,2.298
100,42407,2177165,3500,2.338
100,41710,2219572,3600,2.378
100,41033,2261282,3700,2.418
100,40376,2302315,3800,2.458
100,39737,2342691,3900,2.498
100,39117,2382428,4000,2.538
100,38515,2421545,4100,2.578
100,37929,2460060,4200,2.618
100,37359,2497989,4300,2.658
100,36806,2535348,4400,2.698
100,36267,2572154,4500,2.738
100,35743,2608421,4600,2.778
100,35232,2644164,4700,2.818
100,34737,2679396,4800,2.858
100,34252,2714133,4900,2.898
100,33782,2748385,5000,2.938
100,33322,2782167,5100,2.978
100,32876,2815489,5200,3.025
100,32440,2848365,5300,3.065
100,32016,2880805,5400,3.105
100,31601,2912821,5500,3.145
100,31197,2944422,5600,3.185
100,30804,2975619,5700,3.225
100,30419,3006423,5800,3.265
100,30044,3036842,5900,3.305
100,29678,3066886,6000,3.345
100,29320,3096564,6100,3.392
100,28972,3125884,6200,3.432
100,28631,3154856,6300,3.472
100,28298,3183487,6400,3.512
100,27973,3211785,6500,3.559
100,27656,3239758,6600,3.599
100,27345,3267414,6700,3.632
100,27041,3294759,6800,3.679
100,26745,3321800,6900,3.719
100,26454,3348545,7000,3.759
100,26171,3374999,7100,3.799
100,25893,3401170,7200,3.839
100,25622,3427063,7300,3.879
100,25356,3452685,7400,3.919
100,25096,3478041,7500,3.966
100,24842,3503137,7600,4.006
100,24592,3527979,7700,4.046
100,24349,3552571,7800,4.086
100,24110,3576920,7900,4.126
100,23876,3601030,8000,4.166
100,23647,3624906,8100,4.213
100,23423,3648553,8200,4.253
100,23203,3671976,8300,4.293
100,22988,3695179,8400,4.333
100,22776,3718167,8500,4.373
100,22570,3740943,8600,4.413
100,22367,3763513,8700,4.453
100,22168,3785880,8800,4.493
100,21973,3808048,8900,4.533
100,21782,3830021,9000,4.573
100,21594,3851803,9100,4.613
100,21410,3873397,9200,4.653
100,21230,3894807,9300,4.693
100,21053,3916037,9400,4.733
100,20879,3937090,9500,4.773
100,20709,3957969,9600,4.813
100,20541,3978678,9700,4.846
100,20377,3999219,9800,4.886
100,20216,4019596,9900,4.926
100,20057,4039812,10000,4.966
100,19902,4059869,10100,5.006
100,19749,4079771,10200,5.046
100,19599,4099520,10300,5.086
100,19452,4119119,10400,5.126
100,19307,4138571,10500,5.159
100,19165,4157878,10600,5.199
100,19026,4177043,10700,5.239
100,18888,4196069,10800,5.272
100,18753,4214957,10900,5.312
100,18621,4233710,11000,5.352
100,18490,4252331,11100,5.385
100,18362,4270821,11200,5.425
100,18236,4289183,11300,5.465
100,18112,4307419,11400,5.505
100,17991,4325531,11500,5.545
100,17871,4343522,11600,5.578
100,17752,4361393,11700,5.611
100,17637,4379145,11800,5.658
100,17524,4396782,11900,5.691
100,17410,4414306,12000,5.724
100,17301,4431716,12100,5.764
100,17192,4449017,12200,5.797
100,17085,4466209,12300,5.837
100,16980,4483294,12400,5.87
100,16877,4500274,12500,5.91
