purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,19546,19606,10,0.51
10,19488,39152,20,0.51
10,19428,58640,30,0.515
10,19370,78068,40,0.515
10,19312,97438,50,0.515
10,19254,116750,60,0.52
10,19195,136004,70,0.52
10,19139,155199,80,0.52
10,19081,174338,90,0.52
10,19024,193419,100,0.525
10,18967,212443,110,0.525
10,18911,231410,120,0.525
10,18855,250321,130,0.53
10,18799,269176,140,0.53
10,18743,287975,150,0.53
10,18688,306718,160,0.535
10,18632,325406,170,0.535
10,18578,344038,180,0.535
10,18523,362616,190,0.54
10,18469,381139,200,0.54
10,18415,399608,210,0.54
10,18361,418023,220,0.545
10,18307,436384,230,0.545
10,18254,454691,240,0.545
10,18201,472945,250,0.55
10,18148,491146,260,0.55
10,18095,509294,270,0.55
10,18043,527389,280,0.555
10,17991,545432,290,0.555
10,17939,563423,300,0.555
10,17887,581362,310,0.555
10,17836,599249,320,0.56
10,17784,617085,330,0.56
10,17734,634869,340,0.56
10,17683,652603,350,0.565
10,17632,670286,360,0.565
10,17582,687918,370,0.565
10,17532,705500,380,0.57
10,17483,723032,390,0.57
10,17432,740515,400,0.57
10,17384,757947,410,0.575
10,17334,775331,420,0.575
10,17285,792665,430,0.575
10,17237,809950,440,0.58
10,17188,827187,450,0.58
10,17139,844375,460,0.58
10,17092,861514,470,0.585
10,17044,878606,480,0.585
10,16996,895650,490,0.585
10,16949,912646,500,0.59
10,16902,929595,510,0.59
10,16855,946497,520,0.59
10,16807,963352,530,0.595
10,16762,980159,540,0.595
10,16715,996921,550,0.595
10,16668,1013636,560,0.6
10,16623,1030304,570,0.6
10,16577,1046927,580,0.6
10,16531,1063504,590,0.605
10,16487,1080035,600,0.605
10,16440,1096522,610,0.605
10,16396,1112962,620,0.61
10,16352,1129358,630,0.61
10,16306,1145710,640,0.61
10,16262,1162016,650,0.615
10,16218,1178278,660,0.615
10,16174,1194496,670,0.615
10,16131,1210670,680,0.62
10,16086,1226801,690,0.62
10,16043,1242887,700,0.62
10,16000,1258930,710,0.625
10,15957,1274930,720,0.625
10,15914,1290887,730,0.625
10,15871,1306801,740,0.63
10,15829,1322672,750,0.63
10,15786,1338501,760,0.63
10,15745,1354287,770,0.635
10,15702,1370032,780,0.635
10,15661,1385734,790,0.635
10,15619,1401395,800,0.64
10,15577,1417014,810,0.64
10,15536,1432591,820,0.64
10,15496,1448127,830,0.645
10,15454,1463623,840,0.645
10,15413,1479077,850,0.645
10,15373,1494490,860,0.65
10,15333,1509863,870,0.65
10,15292,1525196,880,0.65
10,15253,1540488,890,0.655
10,15212,1555741,900,0.655
10,15173,1570953,910,0.66
10,15133,1586126,920,0.66
10,15094,1601259,930,0.66
10,15054,1616353,940,0.665
10,15016,1631407,950,0.665
10,14977,1646423,960,0.665
10,14937,1661400,970,0.67
10,14900,1676337,980,0.67
10,14861,1691237,990,0.67
10,14822,1706098,1000,0.675
10,14785,1720920,1010,0.675
10,14747,1735705,1020,0.675
10,14708,1750452,1030,0.68
10,14672,1765160,1040,0.68
10,14633,1779832,1050,0.68
10,14597,1794465,1060,0.685
10,14559,1809062,1070,0.685
10,14522,1823621,1080,0.685
10,14486,1838143,1090,0.69
10,14449,1852629,1100,0.69
10,14412,1867078,1110,0.69
10,14376,1881490,1120,0.695
10,14339,1895866,1130,0.695
10,14303,1910205,1140,0.7
10,14268,1924508,1150,0.7
10,14231,1938776,1160,0.7
10,14196,1953007,1170,0.705
10,14161,1967203,1180,0.705
10,14125,1981364,1190,0.705
10,14089,1995489,1200,0.71
10,14055,2009578,1210,0.71
10,14020,2023633,1220,0.71
10,13984,2037653,1230,0.715
10,13951,2051637,1240,0.715
10,13915,2065588,1250,0.715
