purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,14043,14078,10,0.71
10,14009,28121,20,0.715
10,13974,42130,30,0.715
10,13939,56104,40,0.715
10,13904,70043,50,0.72
10,13870,83947,60,0.72
10,13836,97817,70,0.725
10,13802,111653,80,0.725
10,13768,125455,90,0.725
10,13734,139223,100,0.73
10,13701,152957,110,0.73
10,13667,166658,120,0.73
10,13633,180325,130,0.735
10,13600,193958,140,0.735
10,13567,207558,150,0.735
10,13534,221125,160,0.74
10,13501,234659,170,0.74
10,13469,248160,180,0.74
10,13435,261629,190,0.745
10,13404,275064,200,0.745
10,13370,288468,210,0.745
10,13339,301838,220,0.75
10,13306,315177,230,0.75
10,13275,328483,240,0.755
10,13242,341758,250,0.755
10,13211,355000,260,0.755
10,13179,368211,270,0.76
10,13148,381390,280,0.76
10,13116,394538,290,0.76
10,13085,407654,300,0.765
10,13054,420739,310,0.765
10,13023,433793,320,0.765
10,12992,446816,330,0.77
10,12961,459808,340,0.77
10,12930,472769,350,0.775
10,12900,485699,360,0.775
10,12869,498599,370,0.775
10,12840,511468,380,0.78
10,12809,524308,390,0.78
10,12778,537117,400,0.78
10,12749,549895,410,0.785
10,12719,562644,420,0.785
10,12690,575363,430,0.79
10,12659,588053,440,0.79
10,12630,600712,450,0.79
10,12601,613342,460,0.795
10,12572,625943,470,0.795
10,12542,638515,480,0.795
10,12513,651057,490,0.8
10,12484,663570,500,0.8
10,12456,676054,510,0.805
10,12426,688510,520,0.805
10,12398,700936,530,0.805
10,12370,713334,540,0.81
10,12341,725704,550,0.81
10,12313,738045,560,0.81
10,12284,750358,570,0.815
10,12257,762642,580,0.815
10,12228,774899,590,0.815
10,12200,787127,600,0.82
10,12173,799327,610,0.82
10,12145,811500,620,0.825
10,12118,823645,630,0.825
10,12090,835763,640,0.825
10,12062,847853,650,0.83
10,12036,859915,660,0.83
10,12008,871951,670,0.83
10,11981,883959,680,0.835
10,11954,895940,690,0.835
10,11927,907894,700,0.84
10,11900,919821,710,0.84
10,11874,931721,720,0.84
10,11847,943595,730,0.845
10,11821,955442,740,0.845
10,11794,967263,750,0.845
10,11768,979057,760,0.85
10,11742,990825,770,0.85
10,11716,1002567,780,0.855
10,11689,1014283,790,0.855
10,11664,1025972,800,0.855
10,11638,1037636,810,0.86
10,11612,1049274,820,0.86
10,11587,1060886,830,0.865
10,11561,1072473,840,0.865
10,11536,1084034,850,0.865
10,11510,1095570,860,0.87
10,11485,1107080,870,0.87
10,11460,1118565,880,0.87
10,11434,1130025,890,0.875
10,11410,1141459,900,0.875
10,11385,1152869,910,0.88
10,11360,1164254,920,0.88
10,11335,1175614,930,0.88
10,11311,1186949,940,0.885
10,11286,1198260,950,0.885
10,11262,1209546,960,0.885
10,11237,1220808,970,0.89
10,11213,1232045,980,0.89
10,11189,1243258,990,0.895
10,11164,1254447,1000,0.895
10,11141,1265611,1010,0.895
10,11117,1276752,1020,0.9
10,11092,1287869,1030,0.9
10,11069,1298961,1040,0.905
10,11046,1310030,1050,0.905
10,11022,1321076,1060,0.905
10,10998,1332098,1070,0.91
10,10975,1343096,1080,0.91
10,10951,1354071,1090,0.91
10,10928,1365022,1100,0.915
10,10905,1375950,1110,0.915
10,10882,1386855,1120,0.92
10,10859,1397737,1130,0.92
10,10836,1408596,1140,0.92
10,10813,1419432,1150,0.925
10,10790,1430245,1160,0.925
10,10767,1441035,1170,0.93
10,10745,1451802,1180,0.93
10,10723,1462547,1190,0.93
10,10699,1473270,1200,0.935
10,10678,1483969,1210,0.935
10,10655,1494647,1220,0.94
10,10633,1505302,1230,0.94
10,10611,1515935,1240,0.94
10,10588,1526546,1250,0.945
