purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,13893,13925,10,0.718
10,13861,27818,20,0.722
10,13829,41679,30,0.72
10,13798,55508,40,0.724
10,13766,69306,50,0.722
10,13735,83072,60,0.726
10,13703,96807,70,0.73
10,13672,110510,80,0.728
10,13641,124182,90,0.732
10,13610,137823,100,0.73
10,13579,151433,110,0.734
10,13548,165012,120,0.738
10,13517,178560,130,0.736
10,13487,192077,140,0.74
10,13456,205564,150,0.744
10,13426,219020,160,0.742
10,13396,232446,170,0.746
10,13366,245842,180,0.744
10,13335,259208,190,0.748
10,13306,272543,200,0.752
10,13276,285849,210,0.75
10,13246,299125,220,0.754
10,13217,312371,230,0.758
10,13187,325588,240,0.756
10,13157,338775,250,0.76
10,13129,351932,260,0.758
10,13099,365061,270,0.762
10,13070,378160,280,0.766
10,13041,391230,290,0.764
10,13013,404271,300,0.768
10,12983,417284,310,0.766
10,12955,430267,320,0.77
10,12926,443222,330,0.774
10,12898,456148,340,0.772
10,12870,469046,350,0.776
10,12841,481916,360,0.774
10,12813,494757,370,0.778
10,12785,507570,380,0.782
10,12757,520355,390,0.78
10,12729,533112,400,0.784
10,12702,545841,410,0.788
10,12673,558543,420,0.786
10,12646,571216,430,0.79
10,12619,583862,440,0.794
10,12591,596481,450,0.792
10,12564,609072,460,0.796
10,12537,621636,470,0.794
10,12510,634173,480,0.798
10,12482,646683,490,0.802
10,12456,659165,500,0.8
10,12429,671621,510,0.804
10,12402,684050,520,0.802
10,12376,696452,530,0.806
10,12349,708828,540,0.81
10,12322,721177,550,0.808
10,12297,733499,560,0.812
10,12270,745796,570,0.816
10,12243,758066,580,0.814
10,12218,770309,590,0.818
10,12192,782527,600,0.816
10,12165,794719,610,0.82
10,12140,806884,620,0.824
10,12115,819024,630,0.822
10,12088,831139,640,0.826
10,12063,843227,650,0.83
10,12038,855290,660,0.828
10,12012,867328,670,0.832
10,11987,879340,680,0.83
10,11961,891327,690,0.834
10,11937,903288,700,0.838
10,11911,915225,710,0.836
10,11887,927136,720,0.84
10,11861,939023,730,0.844
10,11837,950884,740,0.842
10,11812,962721,750,0.846
10,11788,974533,760,0.844
10,11763,986321,770,0.848
10,11738,998084,780,0.852
10,11714,1009822,790,0.85
10,11690,1021536,800,0.854
10,11666,1033226,810,0.858
10,11641,1044892,820,0.856
10,11617,1056533,830,0.86
10,11594,1068150,840,0.864
10,11569,1079744,850,0.862
10,11546,1091313,860,0.866
10,11522,1102859,870,0.864
10,11498,1114381,880,0.868
10,11475,1125879,890,0.872
10,11451,1137354,900,0.87
10,11428,1148805,910,0.874
10,11405,1160233,920,0.878
10,11381,1171638,930,0.876
10,11358,1183019,940,0.88
10,11335,1194377,950,0.878
10,11312,1205712,960,0.882
10,11289,1217024,970,0.886
10,11266,1228313,980,0.884
10,11243,1239579,990,0.888
10,11221,1250822,1000,0.892
10,11197,1262043,1010,0.89
10,11176,1273240,1020,0.894
10,11152,1284416,1030,0.892
10,11131,1295568,1040,0.896
10,11108,1306699,1050,0.9
10,11085,1317807,1060,0.898
10,11064,1328892,1070,0.902
10,11041,1339956,1080,0.906
10,11019,1350997,1090,0.904
10,10997,1362016,1100,0.908
10,10975,1373013,1110,0.912
10,10954,1383988,1120,0.91
10,10931,1394942,1130,0.914
10,10910,1405873,1140,0.918
10,10888,1416783,1150,0.916
10,10867,1427671,1160,0.92
10,10845,1438538,1170,0.918
10,10824,1449383,1180,0.922
10,10802,1460207,1190,0.926
10,10781,1471009,1200,0.924
10,10760,1481790,1210,0.928
10,10738,1492550,1220,0.932
10,10718,1503288,1230,0.93
10,10696,1514006,1240,0.934
10,10676,1524702,1250,0.938
