purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,18243,18298,10,0.55
10,18186,36541,20,0.55
10,18130,54727,30,0.555
10,18075,72857,40,0.555
10,18020,90932,50,0.555
10,17965,108952,60,0.56
10,17911,126917,70,0.56
10,17855,144828,80,0.56
10,17802,162683,90,0.565
10,17748,180485,100,0.565
10,17694,198233,110,0.565
10,17641,215927,120,0.57
10,17587,233568,130,0.57
10,17535,251155,140,0.57
10,17482,268690,150,0.575
10,17430,286172,160,0.575
10,17378,303602,170,0.575
10,17325,320980,180,0.58
10,17275,338305,190,0.58
10,17222,355580,200,0.58
10,17172,372802,210,0.585
10,17121,389974,220,0.585
10,17070,407095,230,0.585
10,17020,424165,240,0.59
10,16969,441185,250,0.59
10,16920,458154,260,0.59
10,16869,475074,270,0.595
10,16821,491943,280,0.595
10,16771,508764,290,0.595
10,16722,525535,300,0.6
10,16673,542257,310,0.6
10,16625,558930,320,0.605
10,16576,575555,330,0.605
10,16529,592131,340,0.605
10,16480,608660,350,0.61
10,16433,625140,360,0.61
10,16385,641573,370,0.61
10,16338,657958,380,0.615
10,16291,674296,390,0.615
10,16244,690587,400,0.615
10,16198,706831,410,0.62
10,16151,723029,420,0.62
10,16106,739180,430,0.62
10,16059,755286,440,0.625
10,16013,771345,450,0.625
10,15968,787358,460,0.625
10,15923,803326,470,0.63
10,15877,819249,480,0.63
10,15833,835126,490,0.635
10,15788,850959,500,0.635
10,15743,866747,510,0.635
10,15699,882490,520,0.64
10,15655,898189,530,0.64
10,15611,913844,540,0.64
10,15567,929455,550,0.645
10,15524,945022,560,0.645
10,15480,960546,570,0.645
10,15438,976026,580,0.65
10,15394,991464,590,0.65
10,15352,1006858,600,0.65
10,15309,1022210,610,0.655
10,15266,1037519,620,0.655
10,15225,1052785,630,0.66
10,15183,1068010,640,0.66
10,15140,1083193,650,0.66
10,15099,1098333,660,0.665
10,15058,1113432,670,0.665
10,15016,1128490,680,0.665
10,14976,1143506,690,0.67
10,14934,1158482,700,0.67
10,14894,1173416,710,0.675
10,14853,1188310,720,0.675
10,14813,1203163,730,0.675
10,14773,1217976,740,0.68
10,14732,1232749,750,0.68
10,14693,1247481,760,0.68
10,14653,1262174,770,0.685
10,14614,1276827,780,0.685
10,14574,1291441,790,0.685
10,14536,1306015,800,0.69
10,14496,1320551,810,0.69
10,14457,1335047,820,0.695
10,14419,1349504,830,0.695
10,14380,1363923,840,0.695
10,14342,1378303,850,0.7
10,14304,1392645,860,0.7
10,14266,1406949,870,0.7
10,14228,1421215,880,0.705
10,14190,1435443,890,0.705
10,14153,1449633,900,0.71
10,14116,1463786,910,0.71
10,14078,1477902,920,0.71
10,14041,1491980,930,0.715
10,14005,1506021,940,0.715
10,13967,1520026,950,0.715
10,13932,1533993,960,0.72
10,13894,1547925,970,0.72
10,13859,1561819,980,0.725
10,13822,1575678,990,0.725
10,13787,1589500,1000,0.725
10,13751,1603287,1010,0.73
10,13715,1617038,1020,0.73
10,13679,1630753,1030,0.73
10,13644,1644432,1040,0.735
10,13609,1658076,1050,0.735
10,13574,1671685,1060,0.74
10,13539,1685259,1070,0.74
10,13505,1698798,1080,0.74
10,13469,1712303,1090,0.745
10,13436,1725772,1100,0.745
10,13401,1739208,1110,0.745
10,13366,1752609,1120,0.75
10,13333,1765975,1130,0.75
10,13299,1779308,1140,0.755
10,13265,1792607,1150,0.755
10,13231,1805872,1160,0.755
10,13198,1819103,1170,0.76
10,13164,1832301,1180,0.76
10,13132,1845465,1190,0.765
10,13098,1858597,1200,0.765
10,13065,1871695,1210,0.765
10,13033,1884760,1220,0.77
10,13000,1897793,1230,0.77
10,12967,1910793,1240,0.77
10,12935,1923760,1250,0.775
