purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,14304,14337,10,0.7
10,14272,28641,20,0.705
10,14239,42913,30,0.705
10,14206,57152,40,0.705
10,14174,71358,50,0.705
10,14142,85532,60,0.71
10,14110,99674,70,0.71
10,14077,113784,80,0.71
10,14046,127861,90,0.715
10,14014,141907,100,0.715
10,13982,155921,110,0.715
10,13951,169903,120,0.72
10,13919,183854,130,0.72
10,13888,197773,140,0.72
10,13856,211661,150,0.725
10,13826,225517,160,0.725
10,13794,239343,170,0.725
10,13764,253137,180,0.73
10,13733,266901,190,0.73
10,13702,280634,200,0.73
10,13671,294336,210,0.735
10,13642,308007,220,0.735
10,13610,321649,230,0.735
10,13581,335259,240,0.74
10,13551,348840,250,0.74
10,13520,362391,260,0.74
10,13491,375911,270,0.745
10,13460,389402,280,0.745
10,13432,402862,290,0.745
10,13401,416294,300,0.75
10,13372,429695,310,0.75
10,13343,443067,320,0.75
10,13313,456410,330,0.755
10,13285,469723,340,0.755
10,13255,483008,350,0.755
10,13226,496263,360,0.76
10,13197,509489,370,0.76
10,13169,522686,380,0.76
10,13140,535855,390,0.765
10,13111,548995,400,0.765
10,13083,562106,410,0.765
10,13055,575189,420,0.77
10,13027,588244,430,0.77
10,12998,601271,440,0.77
10,12970,614269,450,0.775
10,12942,627239,460,0.775
10,12915,640181,470,0.775
10,12886,653096,480,0.775
10,12859,665982,490,0.78
10,12832,678841,500,0.78
10,12804,691673,510,0.785
10,12776,704477,520,0.785
10,12749,717253,530,0.785
10,12723,730002,540,0.79
10,12695,742725,550,0.79
10,12668,755420,560,0.79
10,12641,768088,570,0.795
10,12614,780729,580,0.795
10,12588,793343,590,0.795
10,12561,805931,600,0.8
10,12534,818492,610,0.8
10,12508,831026,620,0.8
10,12482,843534,630,0.805
10,12455,856016,640,0.805
10,12429,868471,650,0.805
10,12404,880900,660,0.81
10,12377,893304,670,0.81
10,12351,905681,680,0.81
10,12325,918032,690,0.815
10,12300,930357,700,0.815
10,12274,942657,710,0.815
10,12249,954931,720,0.82
10,12223,967180,730,0.82
10,12197,979403,740,0.82
10,12173,991600,750,0.825
10,12147,1003773,760,0.825
10,12122,1015920,770,0.825
10,12097,1028042,780,0.83
10,12072,1040139,790,0.83
10,12047,1052211,800,0.83
10,12023,1064258,810,0.835
10,11998,1076281,820,0.835
10,11973,1088279,830,0.835
10,11948,1100252,840,0.84
10,11924,1112200,850,0.84
10,11900,1124124,860,0.84
10,11876,1136024,870,0.845
10,11851,1147900,880,0.845
10,11827,1159751,890,0.845
10,11803,1171578,900,0.85
10,11779,1183381,910,0.85
10,11755,1195160,920,0.855
10,11732,1206915,930,0.855
10,11707,1218647,940,0.855
10,11684,1230354,950,0.86
10,11661,1242038,960,0.86
10,11637,1253699,970,0.86
10,11613,1265336,980,0.865
10,11591,1276949,990,0.865
10,11567,1288540,1000,0.865
10,11543,1300107,1010,0.87
10,11521,1311650,1020,0.87
10,11498,1323171,1030,0.87
10,11474,1334669,1040,0.875
10,11452,1346143,1050,0.875
10,11429,1357595,1060,0.875
10,11406,1369024,1070,0.88
10,11384,1380430,1080,0.88
10,11361,1391814,1090,0.88
10,11338,1403175,1100,0.885
10,11316,1414513,1110,0.885
10,11294,1425829,1120,0.885
10,11271,1437123,1130,0.89
10,11249,1448394,1140,0.89
10,11227,1459643,1150,0.895
10,11205,1470870,1160,0.895
10,11183,1482075,1170,0.895
10,11161,1493258,1180,0.9
10,11139,1504419,1190,0.9
10,11118,1515558,1200,0.9
10,11095,1526676,1210,0.905
10,11074,1537771,1220,0.905
10,11052,1548845,1230,0.905
10,11031,1559897,1240,0.91
10,11010,1570928,1250,0.91
