purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,20233,20304,10,0.495
10,20164,40537,20,0.495
10,20094,60701,30,0.495
10,20024,80795,40,0.5
10,19955,100819,50,0.5
10,19887,120774,60,0.5
10,19818,140661,70,0.505
10,19751,160479,80,0.505
10,19683,180230,90,0.505
10,19615,199913,100,0.51
10,19549,219528,110,0.51
10,19483,239077,120,0.515
10,19416,258560,130,0.515
10,19351,277976,140,0.515
10,19285,297327,150,0.52
10,19220,316612,160,0.52
10,19156,335832,170,0.52
10,19091,354988,180,0.525
10,19027,374079,190,0.525
10,18964,393106,200,0.525
10,18900,412070,210,0.53
10,18837,430970,220,0.53
10,18775,449807,230,0.53
10,18712,468582,240,0.535
10,18650,487294,250,0.535
10,18588,505944,260,0.535
10,18527,524532,270,0.54
10,18466,543059,280,0.54
10,18406,561525,290,0.545
10,18345,579931,300,0.545
10,18285,598276,310,0.545
10,18225,616561,320,0.55
10,18165,634786,330,0.55
10,18107,652951,340,0.55
10,18047,671058,350,0.555
10,17989,689105,360,0.555
10,17931,707094,370,0.555
10,17873,725025,380,0.56
10,17815,742898,390,0.56
10,17758,760713,400,0.56
10,17700,778471,410,0.565
10,17644,796171,420,0.565
10,17588,813815,430,0.57
10,17531,831403,440,0.57
10,17475,848934,450,0.57
10,17420,866409,460,0.575
10,17364,883829,470,0.575
10,17310,901193,480,0.575
10,17254,918503,490,0.58
10,17200,935757,500,0.58
10,17146,952957,510,0.585
10,17091,970103,520,0.585
10,17039,987194,530,0.585
10,16984,1004233,540,0.59
10,16931,1021217,550,0.59
10,16879,1038148,560,0.59
10,16826,1055027,570,0.595
10,16773,1071853,580,0.595
10,16722,1088626,590,0.6
10,16669,1105348,600,0.6
10,16618,1122017,610,0.6
10,16567,1138635,620,0.605
10,16515,1155202,630,0.605
10,16465,1171717,640,0.605
10,16414,1188182,650,0.61
10,16363,1204596,660,0.61
10,16314,1220959,670,0.61
10,16264,1237273,680,0.615
10,16214,1253537,690,0.615
10,16164,1269751,700,0.62
10,16116,1285915,710,0.62
10,16066,1302031,720,0.62
10,16018,1318097,730,0.625
10,15970,1334115,740,0.625
10,15921,1350085,750,0.625
10,15874,1366006,760,0.63
10,15826,1381880,770,0.63
10,15778,1397706,780,0.635
10,15731,1413484,790,0.635
10,15684,1429215,800,0.635
10,15637,1444899,810,0.64
10,15590,1460536,820,0.64
10,15544,1476126,830,0.645
10,15498,1491670,840,0.645
10,15452,1507168,850,0.645
10,15407,1522620,860,0.65
10,15360,1538027,870,0.65
10,15316,1553387,880,0.65
10,15270,1568703,890,0.655
10,15226,1583973,900,0.655
10,15181,1599199,910,0.66
10,15136,1614380,920,0.66
10,15093,1629516,930,0.66
10,15048,1644609,940,0.665
10,15004,1659657,950,0.665
10,14961,1674661,960,0.67
10,14918,1689622,970,0.67
10,14874,1704540,980,0.67
10,14831,1719414,990,0.675
10,14789,1734245,1000,0.675
10,14745,1749034,1010,0.675
10,14704,1763779,1020,0.68
10,14661,1778483,1030,0.68
10,14619,1793144,1040,0.685
10,14578,1807763,1050,0.685
10,14535,1822341,1060,0.685
10,14495,1836876,1070,0.69
10,14453,1851371,1080,0.69
10,14412,1865824,1090,0.695
10,14371,1880236,1100,0.695
10,14330,1894607,1110,0.695
10,14290,1908937,1120,0.7
10,14250,1923227,1130,0.7
10,14209,1937477,1140,0.705
10,14170,1951686,1150,0.705
10,14129,1965856,1160,0.705
10,14090,1979985,1170,0.71
10,14051,1994075,1180,0.71
10,14012,2008126,1190,0.715
10,13972,2022138,1200,0.715
10,13934,2036110,1210,0.715
10,13895,2050044,1220,0.72
10,13856,2063939,1230,0.72
10,13818,2077795,1240,0.725
10,13780,2091613,1250,0.725
