purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,911287,1088010,1000,1.009
1000,776959,1999297,2000,1.192
1000,672474,2776256,3000,1.389
1000,589597,3448730,4000,1.593
1000,522757,4038327,5000,1.804
1000,468067,4561084,6000,2.029
1000,422748,5029151,7000,2.254
1000,384778,5451899,8000,2.486
1000,352647,5836677,9000,2.718
1000,325217,6189324,10000,2.957
1000,301615,6514541,11000,3.196
1000,281157,6816156,12000,3.435
1000,263312,7097313,13000,3.681
1000,247652,7360625,14000,3.92
1000,233832,7608277,15000,4.159
1000,221577,7842109,16000,4.398
1000,210660,8063686,17000,4.637
1000,200890,8274346,18000,4.862
1000,192115,8475236,19000,5.094
1000,184202,8667351,20000,5.319
1000,177043,8851553,21000,5.544
1000,170545,9028596,22000,5.762
1000,164628,9199141,23000,5.973
1000,159226,9363769,24000,6.184
1000,154280,9522995,25000,6.388
1000,149741,9677275,26000,6.585
1000,145565,9827016,27000,6.782
1000,141714,9972581,28000,6.972
1000,138156,10114295,29000,7.155
1000,134861,10252451,30000,7.331
1000,131805,10387312,31000,7.507
1000,128963,10519117,32000,7.676
1000,126319,10648080,33000,7.845
1000,123851,10774399,34000,8
1000,121548,10898250,35000,8.162
1000,119392,11019798,36000,8.31
1000,117373,11139190,37000,8.458
1000,115479,11256563,38000,8.599
1000,113699,11372042,39000,8.733
1000,112025,11485741,40000,8.867
1000,110448,11597766,41000,8.994
1000,108963,11708214,42000,9.121
1000,107559,11817177,43000,9.241
1000,106233,11924736,44000,9.361
1000,104979,12030969,45000,9.474
1000,103792,12135948,46000,9.594
1000,102666,12239740,47000,9.693
1000,101599,12342406,48000,9.799
1000,100584,12444005,49000,9.898
1000,99621,12544589,50000,9.997
1000,98703,12644210,51000,10.089
1000,97831,12742913,52000,10.188
1000,97000,12840744,53000,10.273
1000,96207,12937744,54000,10.358
1000,95450,13033951,55000,10.436
1000,94728,13129401,56000,10.521
1000,94037,13224129,57000,10.599
1000,93377,13318166,58000,10.677
1000,92746,13411543,59000,10.755
1000,92141,13504289,60000,10.826
1000,91562,13596430,61000,10.897
1000,91007,13687992,62000,10.968
1000,90473,13778999,63000,11.025
1000,89963,13869472,64000,11.096
1000,89471,13959435,65000,11.153
1000,89000,14048906,66000,11.217
1000,88547,14137906,67000,11.274
1000,88110,14226453,68000,11.324
1000,87691,14314563,69000,11.388
1000,87286,14402254,70000,11.438
1000,86898,14489540,71000,11.495
1000,86523,14576438,72000,11.538
1000,86161,14662961,73000,11.588
1000,85812,14749122,74000,11.631
1000,85476,14834934,75000,11.681
1000,85151,14920410,76000,11.731
1000,84838,15005561,77000,11.774
1000,84534,15090399,78000,11.81
1000,84242,15174933,79000,11.86
1000,83958,15259175,80000,11.896
1000,83685,15343133,81000,11.939
1000,83420,15426818,82000,11.975
1000,83163,15510238,83000,12.011
1000,82915,15593401,84000,12.047
1000,82674,15676316,85000,12.083
1000,82441,15758990,86000,12.119
1000,82216,15841431,87000,12.155
1000,81996,15923647,88000,12.184
1000,81784,16005643,89000,12.22
1000,81578,16087427,90000,12.249
1000,81378,16169005,91000,12.278
1000,81183,16250383,92000,12.307
1000,80996,16331566,93000,12.343
1000,80812,16412562,94000,12.365
1000,80634,16493374,95000,12.394
1000,80462,16574008,96000,12.423
1000,80293,16654470,97000,12.445
1000,80130,16734763,98000,12.474
1000,79971,16814893,99000,12.503
1000,79816,16894864,100000,12.525
1000,79666,16974680,101000,12.554
1000,79520,17054346,102000,12.576
1000,79377,17133866,103000,12.598
1000,79238,17213243,104000,12.62
1000,79103,17292481,105000,12.642
1000,78971,17371584,106000,12.664
1000,78843,17450555,107000,12.686
1000,78718,17529398,108000,12.701
1000,78596,17608116,109000,12.723
1000,78476,17686712,110000,12.738
1000,78361,17765188,111000,12.767
1000,78248,17843549,112000,12.782
1000,78137,17921797,113000,12.79
1000,78029,17999934,114000,12.812
1000,77924,18077963,115000,12.834
1000,77822,18155887,116000,12.856
1000,77721,18233709,117000,12.864
1000,77623,18311430,118000,12.886
1000,77528,18389053,119000,12.901
1000,77434,18466581,120000,12.916
1000,77343,18544015,121000,12.931
1000,77253,18621358,122000,12.946
1000,77167,18698611,123000,12.968
1000,77081,18775778,124000,12.969
1000,76997,18852859,125000,12.984
