purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,514026,584544,1000,1.83
1000,457858,1098570,2000,2.07
1000,412393,1556428,3000,2.31
1000,375076,1968821,4000,2.55
1000,344068,2343897,5000,2.79
1000,318023,2687965,6000,3.03
1000,295937,3005988,7000,3.27
1000,277044,3301925,8000,3.5
1000,260758,3578969,9000,3.725
1000,246621,3839727,10000,3.95
1000,234270,4086348,11000,4.17
1000,223417,4320618,12000,4.38
1000,213828,4544035,13000,4.58
1000,205315,4757863,14000,4.78
1000,197723,4963178,15000,4.97
1000,190922,5160901,16000,5.15
1000,184809,5351823,17000,5.33
1000,179291,5536632,18000,5.5
1000,174296,5715923,19000,5.665
1000,169757,5890219,20000,5.82
1000,165623,6059976,21000,5.97
1000,161845,6225599,22000,6.11
1000,158384,6387444,23000,6.25
1000,155206,6545828,24000,6.385
1000,152281,6701034,25000,6.51
1000,149582,6853315,26000,6.63
1000,147086,7002897,27000,6.745
1000,144776,7149983,28000,6.86
1000,142630,7294759,29000,6.965
1000,140635,7437389,30000,7.065
1000,138777,7578024,31000,7.165
1000,137044,7716801,32000,7.26
1000,135424,7853845,33000,7.35
1000,133909,7989269,34000,7.435
1000,132488,8123178,35000,7.515
1000,131155,8255666,36000,7.59
1000,129902,8386821,37000,7.67
1000,128724,8516723,38000,7.74
1000,127614,8645447,39000,7.81
1000,126566,8773061,40000,7.87
1000,125578,8899627,41000,7.94
1000,124643,9025205,42000,7.995
1000,123759,9149848,43000,8.06
1000,122922,9273607,44000,8.115
1000,122127,9396529,45000,8.165
1000,121375,9518656,46000,8.225
1000,120659,9640031,47000,8.265
1000,119978,9760690,48000,8.315
1000,119332,9880668,49000,8.365
1000,118715,10000000,50000,8.405
1000,118128,10118715,51000,8.445
1000,117568,10236843,52000,8.49
1000,117033,10354411,53000,8.53
1000,116523,10471444,54000,8.57
1000,116036,10587967,55000,8.61
1000,115568,10704003,56000,8.635
1000,115123,10819571,57000,8.68
1000,114695,10934694,58000,8.705
1000,114285,11049389,59000,8.735
1000,113893,11163674,60000,8.765
1000,113510,11277567,61000,8.79
1000,113157,11391077,62000,8.865
1000,112807,11504234,63000,8.865
1000,112473,11617041,64000,8.89
1000,112152,11729514,65000,8.915
1000,111843,11841666,66000,8.94
1000,111547,11953509,67000,8.965
1000,111260,12065056,68000,8.98
1000,110985,12176316,69000,9.005
1000,110719,12287301,70000,9.025
1000,110463,12398020,71000,9.05
1000,110216,12508483,72000,9.07
1000,109978,12618699,73000,9.095
1000,109748,12728677,74000,9.115
1000,109526,12838425,75000,9.13
1000,109311,12947951,76000,9.145
1000,109104,13057262,77000,9.165
1000,108902,13166366,78000,9.18
1000,108709,13275268,79000,9.205
1000,108521,13383977,80000,9.215
1000,108339,13492498,81000,9.235
1000,108164,13600837,82000,9.25
1000,107992,13709001,83000,9.255
1000,107828,13816993,84000,9.275
1000,107667,13924821,85000,9.285
1000,107512,14032488,86000,9.3
1000,107361,14140000,87000,9.315
1000,107215,14247361,88000,9.33
1000,107074,14354576,89000,9.345
1000,106935,14461650,90000,9.35
1000,106802,14568585,91000,9.365
1000,106672,14675387,92000,9.38
1000,106546,14782059,93000,9.39
1000,106423,14888605,94000,9.4
1000,106304,14995028,95000,9.415
1000,106188,15101332,96000,9.425
1000,106076,15207520,97000,9.435
1000,105965,15313596,98000,9.435
1000,105859,15419561,99000,9.45
1000,105755,15525420,100000,9.46
1000,105653,15631175,101000,9.465
1000,105556,15736828,102000,9.48
1000,105459,15842384,103000,9.48
1000,105365,15947843,104000,9.49
1000,105275,16053208,105000,9.505
1000,105185,16158483,106000,9.51
1000,105099,16263668,107000,9.52
1000,105015,16368767,108000,9.53
1000,104932,16473782,109000,9.53
1000,104852,16578714,110000,9.54
1000,104773,16683566,111000,9.545
1000,104697,16788339,112000,9.555
1000,104622,16893036,113000,9.56
1000,104549,16997658,114000,9.57
1000,104478,17102207,115000,9.58
1000,104409,17206685,116000,9.585
1000,104340,17311094,117000,9.585
1000,104274,17415434,118000,9.595
1000,104209,17519708,119000,9.605
1000,104146,17623917,120000,9.61
1000,104084,17728063,121000,9.615
1000,104023,17832147,122000,9.615
1000,103964,17936170,123000,9.625
1000,103906,18040134,124000,9.63
1000,103849,18144040,125000,9.63
