purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,1037728,1263427,1000,0.875
1000,871898,2301155,2000,1.055
1000,746483,3173053,3000,1.245
1000,649338,3919536,4000,1.44
1000,572558,4568874,5000,1.645
1000,510824,5141432,6000,1.85
1000,460445,5652256,7000,2.065
1000,418799,6112701,8000,2.28
1000,383975,6531500,9000,2.5
1000,354563,6915475,10000,2.715
1000,329494,7270038,11000,2.93
1000,307955,7599532,12000,3.14
1000,289312,7907487,13000,3.355
1000,273069,8196799,14000,3.56
1000,258830,8469868,15000,3.765
1000,246279,8728698,16000,3.965
1000,235159,8974977,17000,4.16
1000,225261,9210136,18000,4.35
1000,216411,9435397,19000,4.535
1000,208468,9651808,20000,4.715
1000,201311,9860276,21000,4.885
1000,194839,10061587,22000,5.055
1000,188968,10256426,23000,5.215
1000,183627,10445394,24000,5.375
1000,178751,10629021,25000,5.525
1000,174291,10807772,26000,5.67
1000,170199,10982063,27000,5.81
1000,166436,11152262,28000,5.945
1000,162968,11318698,29000,6.075
1000,159763,11481666,30000,6.2
1000,156799,11641429,31000,6.325
1000,154049,11798228,32000,6.44
1000,151493,11952277,33000,6.545
1000,149116,12103770,34000,6.66
1000,146899,12252886,35000,6.76
1000,144829,12399785,36000,6.86
1000,142892,12544614,37000,6.955
1000,141080,12687506,38000,7.05
1000,139378,12828586,39000,7.135
1000,137782,12967964,40000,7.22
1000,136279,13105746,41000,7.3
1000,134866,13242025,42000,7.385
1000,133532,13376891,43000,7.455
1000,132274,13510423,44000,7.53
1000,131086,13642697,45000,7.6
1000,129962,13773783,46000,7.665
1000,128897,13903745,47000,7.73
1000,127889,14032642,48000,7.795
1000,126933,14160531,49000,7.855
1000,126024,14287464,50000,7.91
1000,125161,14413488,51000,7.97
1000,124341,14538649,52000,8.025
1000,123559,14662990,53000,8.07
1000,122815,14786549,54000,8.125
1000,122105,14909364,55000,8.17
1000,121429,15031469,56000,8.22
1000,120782,15152898,57000,8.26
1000,120165,15273680,58000,8.305
1000,119574,15393845,59000,8.345
1000,119009,15513419,60000,8.385
1000,118469,15632428,61000,8.43
1000,117951,15750897,62000,8.465
1000,117454,15868848,63000,8.495
1000,116978,15986302,64000,8.535
1000,116521,16103280,65000,8.57
1000,116082,16219801,66000,8.6
1000,115661,16335883,67000,8.635
1000,115256,16451544,68000,8.665
1000,114866,16566800,69000,8.69
1000,114491,16681666,70000,8.72
1000,114130,16796157,71000,8.75
1000,113783,16910287,72000,8.78
1000,113447,17024070,73000,8.805
1000,113125,17137517,74000,8.835
1000,112814,17250642,75000,8.86
1000,112513,17363456,76000,8.88
1000,112223,17475969,77000,8.905
1000,111944,17588192,78000,8.93
1000,111672,17700136,79000,8.945
1000,111412,17811808,80000,8.975
1000,111158,17923220,81000,8.99
1000,110915,18034378,82000,9.015
1000,110677,18145293,83000,9.03
1000,110449,18255970,84000,9.055
1000,110228,18366419,85000,9.07
1000,110012,18476647,86000,9.085
1000,109805,18586659,87000,9.105
1000,109603,18696464,88000,9.12
1000,109408,18806067,89000,9.14
1000,109219,18915475,90000,9.155
1000,109034,19024694,91000,9.165
1000,108857,19133728,92000,9.185
1000,108683,19242585,93000,9.195
1000,108515,19351268,94000,9.21
1000,108352,19459783,95000,9.225
1000,108193,19568135,96000,9.235
1000,108039,19676328,97000,9.25
1000,107889,19784367,98000,9.265
1000,107744,19892256,99000,9.28
1000,107601,20000000,100000,9.285
1000,107464,20107601,101000,9.305
1000,107330,20215065,102000,9.315
1000,107200,20322395,103000,9.33
1000,107072,20429595,104000,9.335
1000,106949,20536667,105000,9.345
1000,106829,20643616,106000,9.355
1000,106719,20750445,107000,9.355
1000,106581,20857164,108000,9.285
1000,106488,20963745,109000,9.44
1000,106376,21070233,110000,9.415
1000,106271,21176609,111000,9.425
1000,106167,21282880,112000,9.425
1000,106065,21389047,113000,9.43
1000,105968,21495112,114000,9.45
1000,105871,21601080,115000,9.45
1000,105778,21706951,116000,9.465
1000,105686,21812729,117000,9.47
1000,105597,21918415,118000,9.48
1000,105510,22024012,119000,9.485
1000,105424,22129522,120000,9.49
1000,105342,22234946,121000,9.5
1000,105259,22340288,122000,9.5
1000,105181,22445547,123000,9.515
1000,105102,22550728,124000,9.515
1000,105027,22655830,125000,9.53
