purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,1159030,1471009,1000,0.77
1000,942660,2630039,2000,0.96
1000,786453,3572699,3000,1.165
1000,669999,4359152,4000,1.385
1000,580859,5029151,5000,1.61
1000,511115,5610010,6000,1.84
1000,455518,6121125,7000,2.08
1000,410485,6576643,8000,2.32
1000,373497,6987128,9000,2.56
1000,342749,7360625,10000,2.8
1000,316910,7703374,11000,3.04
1000,294988,8020284,12000,3.275
1000,276228,8315272,13000,3.505
1000,260053,8591500,14000,3.74
1000,246007,8851553,15000,3.96
1000,233731,9097560,16000,4.175
1000,222942,9331291,17000,4.385
1000,213408,9554233,18000,4.59
1000,204940,9767641,19000,4.785
1000,197388,9972581,20000,4.98
1000,190623,10169969,21000,5.16
1000,184538,10360592,22000,5.335
1000,179047,10545130,23000,5.505
1000,174073,10724177,24000,5.67
1000,169556,10898250,25000,5.83
1000,165438,11067806,26000,5.975
1000,161677,11233244,27000,6.12
1000,158229,11394921,28000,6.255
1000,155064,11553150,29000,6.39
1000,152150,11708214,30000,6.515
1000,149461,11860364,31000,6.635
1000,146975,12009825,32000,6.75
1000,144671,12156800,33000,6.86
1000,142534,12301471,34000,6.97
1000,140545,12444005,35000,7.07
1000,138694,12584550,36000,7.17
1000,136966,12723244,37000,7.26
1000,135351,12860210,38000,7.345
1000,133840,12995561,39000,7.435
1000,132424,13129401,40000,7.515
1000,131094,13261825,41000,7.595
1000,129846,13392919,42000,7.675
1000,128670,13522765,43000,7.745
1000,127564,13651435,44000,7.815
1000,126519,13778999,45000,7.875
1000,125532,13905518,46000,7.935
1000,124601,14031050,47000,8.005
1000,123719,14155651,48000,8.06
1000,122884,14279370,49000,8.115
1000,122091,14402254,50000,8.17
1000,121340,14524345,51000,8.225
1000,120627,14645685,52000,8.275
1000,119947,14766312,53000,8.315
1000,119302,14886259,54000,8.365
1000,118687,15005561,55000,8.41
1000,118101,15124248,56000,8.455
1000,117543,15242349,57000,8.495
1000,117009,15359892,58000,8.53
1000,116500,15476901,59000,8.57
1000,116013,15593401,60000,8.605
1000,115547,15709414,61000,8.64
1000,115102,15824961,62000,8.68
1000,114675,15940063,63000,8.71
1000,114267,16054738,64000,8.745
1000,113874,16169005,65000,8.77
1000,113498,16282879,66000,8.805
1000,113138,16396377,67000,8.835
1000,112790,16509515,68000,8.855
1000,112458,16622305,69000,8.89
1000,112137,16734763,70000,8.91
1000,111829,16846900,71000,8.94
1000,111533,16958729,72000,8.965
1000,111247,17070262,73000,8.985
1000,110972,17181509,74000,9.005
1000,110707,17292481,75000,9.03
1000,110452,17403188,76000,9.05
1000,110205,17513640,77000,9.065
1000,109967,17623845,78000,9.085
1000,109737,17733812,79000,9.105
1000,109516,17843549,80000,9.13
1000,109301,17953065,81000,9.14
1000,109094,18062366,82000,9.16
1000,108893,18171460,83000,9.18
1000,108700,18280353,84000,9.2
1000,108513,18389053,85000,9.215
1000,108331,18497566,86000,9.225
1000,108155,18605897,87000,9.24
1000,107984,18714052,88000,9.255
1000,107820,18822036,89000,9.275
1000,107660,18929856,90000,9.29
1000,107505,19037516,91000,9.3
1000,107354,19145021,92000,9.315
1000,107209,19252375,93000,9.33
1000,107067,19359584,94000,9.335
1000,106929,19466651,95000,9.345
1000,106796,19573580,96000,9.36
1000,106666,19680376,97000,9.37
1000,106540,19787042,98000,9.385
1000,106418,19893582,99000,9.395
1000,106298,20000000,100000,9.4
1000,106183,20106298,101000,9.415
1000,106070,20212481,102000,9.425
1000,105961,20318551,103000,9.435
1000,105854,20424512,104000,9.44
1000,105752,20530366,105000,9.445
1000,105635,20636118,106000,9.44
1000,105560,20741753,107000,9.58
1000,105455,20847313,108000,9.5
1000,105362,20952768,109000,9.505
1000,105270,21058130,110000,9.505
1000,105182,21163400,111000,9.515
1000,105095,21268582,112000,9.52
1000,105010,21373677,113000,9.525
1000,104929,21478687,114000,9.54
1000,104848,21583616,115000,9.54
1000,104770,21688464,116000,9.55
1000,104693,21793234,117000,9.555
1000,104619,21897927,118000,9.565
1000,104546,22002546,119000,9.57
1000,104474,22107092,120000,9.575
1000,104405,22211566,121000,9.585
1000,104338,22315971,122000,9.595
1000,104271,22420309,123000,9.595
1000,104206,22524580,124000,9.6
1000,104143,22628786,125000,9.605
