purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,1379061,1915100,1000,0.625
1000,1049925,3294161,2000,0.84
1000,833351,4344086,3000,1.08
1000,683262,5177437,4000,1.335
1000,574973,5860699,5000,1.605
1000,494279,6435672,6000,1.885
1000,432539,6929951,7000,2.17
1000,384248,7362490,8000,2.46
1000,345764,7746738,9000,2.75
1000,314599,8092502,10000,3.04
1000,289010,8407101,11000,3.325
1000,267740,8696111,12000,3.605
1000,249869,8963851,13000,3.875
1000,234709,9213720,14000,4.135
1000,221739,9448429,15000,4.39
1000,210556,9670168,16000,4.635
1000,200847,9880724,17000,4.87
1000,192362,10081571,18000,5.095
1000,184905,10273933,19000,5.31
1000,178316,10458838,20000,5.515
1000,172466,10637154,21000,5.71
1000,167247,10809620,22000,5.895
1000,162573,10976867,23000,6.07
1000,158369,11139440,24000,6.24
1000,154576,11297809,25000,6.4
1000,151140,11452385,26000,6.55
1000,148019,11603525,27000,6.69
1000,145176,11751544,28000,6.83
1000,142577,11896720,29000,6.955
1000,140197,12039297,30000,7.08
1000,138010,12179494,31000,7.195
1000,135998,12317504,32000,7.31
1000,134141,12453502,33000,7.41
1000,132424,12587643,34000,7.51
1000,130834,12720067,35000,7.605
1000,129357,12850901,36000,7.695
1000,127985,12980258,37000,7.78
1000,126706,13108243,38000,7.86
1000,125513,13234949,39000,7.935
1000,124398,13360462,40000,8.01
1000,123355,13484860,41000,8.08
1000,122377,13608215,42000,8.145
1000,121460,13730592,43000,8.21
1000,120597,13852052,44000,8.27
1000,119786,13972649,45000,8.33
1000,119022,14092435,46000,8.385
1000,118300,14211457,47000,8.43
1000,117620,14329757,48000,8.49
1000,116977,14447377,49000,8.535
1000,116368,14564354,50000,8.58
1000,115791,14680722,51000,8.62
1000,115245,14796513,52000,8.665
1000,114725,14911758,53000,8.7
1000,114234,15026483,54000,8.745
1000,113764,15140717,55000,8.775
1000,113319,15254481,56000,8.815
1000,112895,15367800,57000,8.85
1000,112490,15480695,58000,8.88
1000,112105,15593185,59000,8.91
1000,111736,15705290,60000,8.94
1000,111385,15817026,61000,8.97
1000,111049,15928411,62000,9
1000,110728,16039460,63000,9.025
1000,110420,16150188,64000,9.045
1000,110125,16260608,65000,9.075
1000,109844,16370733,66000,9.105
1000,109573,16480577,67000,9.12
1000,109313,16590150,68000,9.145
1000,109065,16699463,69000,9.17
1000,108825,16808528,70000,9.185
1000,108595,16917353,71000,9.205
1000,108374,17025948,72000,9.225
1000,108162,17134322,73000,9.245
1000,107957,17242484,74000,9.26
1000,107760,17350441,75000,9.275
1000,107570,17458201,76000,9.29
1000,107387,17565771,77000,9.31
1000,107211,17673158,78000,9.325
1000,107040,17780369,79000,9.34
1000,106877,17887409,80000,9.36
1000,106718,17994286,81000,9.37
1000,106565,18101004,82000,9.385
1000,106417,18207569,83000,9.395
1000,106274,18313986,84000,9.41
1000,106136,18420260,85000,9.425
1000,106002,18526396,86000,9.435
1000,105873,18632398,87000,9.445
1000,105747,18738271,88000,9.455
1000,105626,18844018,89000,9.47
1000,105509,18949644,90000,9.485
1000,105395,19055153,91000,9.49
1000,105285,19160548,92000,9.5
1000,105177,19265833,93000,9.505
1000,105074,19371010,94000,9.52
1000,104973,19476084,95000,9.525
1000,104875,19581057,96000,9.535
1000,104780,19685932,97000,9.545
1000,104689,19790712,98000,9.56
1000,104599,19895401,99000,9.56
1000,104511,20000000,100000,9.565
1000,104428,20104511,101000,9.58
1000,104345,20208939,102000,9.585
1000,104265,20313284,103000,9.59
1000,104186,20417549,104000,9.6
1000,104113,20521735,105000,9.625
1000,104039,20625848,106000,9.62
1000,103966,20729887,107000,9.62
1000,103897,20833853,108000,9.635
1000,103830,20937750,109000,9.64
1000,103763,21041580,110000,9.64
1000,103698,21145343,111000,9.645
1000,103636,21249041,112000,9.655
1000,103574,21352677,113000,9.655
1000,103515,21456251,114000,9.67
1000,103457,21559766,115000,9.67
1000,103399,21663223,116000,9.67
1000,103345,21766622,117000,9.685
1000,103290,21869967,118000,9.685
1000,103238,21973257,119000,9.695
1000,103186,22076495,120000,9.695
1000,103136,22179681,121000,9.7
1000,103087,22282817,122000,9.705
1000,103039,22385904,123000,9.71
1000,102992,22488943,124000,9.71
1000,102946,22591935,125000,9.715
