purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,2006511,2820062,1000,0.425
1000,1510469,4826573,2000,0.58
1000,1185734,6337042,3000,0.755
1000,961568,7522776,4000,0.945
1000,800329,8484344,5000,1.145
1000,680481,9284673,6000,1.36
1000,588972,9965154,7000,1.585
1000,517521,10554126,8000,1.82
1000,460665,11071647,9000,2.055
1000,414682,11532312,10000,2.295
1000,376965,11946994,11000,2.535
1000,345647,12323959,12000,2.775
1000,319356,12669606,13000,3.015
1000,297072,12988962,14000,3.255
1000,278019,13286034,15000,3.485
1000,261601,13564053,16000,3.71
1000,247355,13825654,17000,3.94
1000,234914,14073009,18000,4.155
1000,223983,14307923,19000,4.365
1000,214330,14531906,20000,4.57
1000,205762,14746236,21000,4.77
1000,198122,14951998,22000,4.96
1000,191281,15150120,23000,5.14
1000,185131,15341401,24000,5.32
1000,179583,15526532,25000,5.49
1000,174560,15706115,26000,5.655
1000,169998,15880675,27000,5.815
1000,165842,16050673,28000,5.965
1000,162046,16216515,29000,6.11
1000,158569,16378561,30000,6.245
1000,155375,16537130,31000,6.375
1000,152437,16692505,32000,6.505
1000,149726,16844942,33000,6.625
1000,147220,16994668,34000,6.74
1000,144899,17141888,35000,6.855
1000,142745,17286787,36000,6.96
1000,140742,17429532,37000,7.06
1000,138877,17570274,38000,7.16
1000,137137,17709151,39000,7.255
1000,135511,17846288,40000,7.345
1000,133990,17981799,41000,7.43
1000,132565,18115789,42000,7.515
1000,131227,18248354,43000,7.585
1000,129970,18379581,44000,7.66
1000,128787,18509551,45000,7.73
1000,127673,18638338,46000,7.805
1000,126623,18766011,47000,7.87
1000,125631,18892634,48000,7.935
1000,124694,19018265,49000,7.995
1000,123807,19142959,50000,8.055
1000,122967,19266766,51000,8.11
1000,122170,19389733,52000,8.16
1000,121415,19511903,53000,8.22
1000,120698,19633318,54000,8.27
1000,120015,19754016,55000,8.315
1000,119367,19874031,56000,8.365
1000,118748,19993398,57000,8.405
1000,118160,20112146,58000,8.45
1000,117598,20230306,59000,8.49
1000,117063,20347904,60000,8.535
1000,116551,20464967,61000,8.565
1000,116062,20581518,62000,8.6
1000,115594,20697580,63000,8.635
1000,115146,20813174,64000,8.67
1000,114718,20928320,65000,8.71
1000,114307,21043038,66000,8.74
1000,113914,21157345,67000,8.775
1000,113536,21271259,68000,8.8
1000,113174,21384795,69000,8.83
1000,112825,21497969,70000,8.855
1000,112491,21610794,71000,8.885
1000,112170,21723285,72000,8.91
1000,111860,21835455,73000,8.93
1000,111562,21947315,74000,8.955
1000,111276,22058877,75000,8.985
1000,111000,22170153,76000,9.005
1000,110733,22281153,77000,9.025
1000,110478,22391886,78000,9.05
1000,110229,22502364,79000,9.065
1000,109991,22612593,80000,9.09
1000,109761,22722584,81000,9.11
1000,109538,22832345,82000,9.125
1000,109322,22941883,83000,9.14
1000,109115,23051205,84000,9.165
1000,108914,23160320,85000,9.18
1000,108719,23269234,86000,9.195
1000,108532,23377953,87000,9.215
1000,108349,23486485,88000,9.225
1000,108173,23594834,89000,9.24
1000,108001,23703007,90000,9.255
1000,107837,23811008,91000,9.275
1000,107676,23918845,92000,9.285
1000,107520,24026521,93000,9.3
1000,107370,24134041,94000,9.315
1000,107223,24241411,95000,9.325
1000,107081,24348634,96000,9.34
1000,106943,24455715,97000,9.35
1000,106810,24562658,98000,9.365
1000,106679,24669468,99000,9.37
1000,106552,24776147,100000,9.385
1000,106430,24882699,101000,9.4
1000,106311,24989129,102000,9.41
1000,106194,25095440,103000,9.415
1000,106082,25201634,104000,9.43
1000,105971,25307716,105000,9.435
1000,105865,25413687,106000,9.45
1000,105760,25519552,107000,9.455
1000,105660,25625312,108000,9.47
1000,105560,25730972,109000,9.47
1000,105464,25836532,110000,9.485
1000,105371,25941996,111000,9.495
1000,105280,26047367,112000,9.505
1000,105190,26152647,113000,9.505
1000,105104,26257837,114000,9.52
1000,105019,26362941,115000,9.525
1000,104937,26467960,116000,9.53
1000,104856,26572897,117000,9.535
1000,104778,26677753,118000,9.545
1000,104701,26782531,119000,9.55
1000,104626,26887232,120000,9.555
1000,104553,26991858,121000,9.565
1000,104482,27096411,122000,9.575
1000,104412,27200893,123000,9.58
1000,104344,27305305,124000,9.59
1000,104278,27409649,125000,9.595
