purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,2444,2446,10,4.09
10,2444,4890,20,4.095
10,2442,7334,30,4.095
10,2441,9776,40,4.095
10,2440,12217,50,4.1
10,2438,14657,60,4.1
10,2437,17095,70,4.105
10,2436,19532,80,4.105
10,2434,21968,90,4.105
10,2433,24402,100,4.11
10,2432,26835,110,4.115
10,2431,29267,120,4.115
10,2429,31698,130,4.115
10,2429,34127,140,4.12
10,2427,36556,150,4.12
10,2425,38983,160,4.12
10,2424,41408,170,4.125
10,2424,43832,180,4.13
10,2421,46256,190,4.125
10,2421,48677,200,4.135
10,2419,51098,210,4.135
10,2418,53517,220,4.135
10,2417,55935,230,4.14
10,2416,58352,240,4.14
10,2414,60768,250,4.14
10,2413,63182,260,4.145
10,2412,65595,270,4.145
10,2410,68007,280,4.15
10,2410,70417,290,4.15
10,2408,72827,300,4.15
10,2407,75235,310,4.155
10,2405,77642,320,4.155
10,2405,80047,330,4.16
10,2403,82452,340,4.16
10,2402,84855,350,4.16
10,2400,87257,360,4.165
10,2400,89657,370,4.17
10,2398,92057,380,4.17
10,2397,94455,390,4.17
10,2396,96852,400,4.175
10,2394,99248,410,4.175
10,2393,101642,420,4.18
10,2393,104035,430,4.18
10,2390,106428,440,4.18
10,2390,108818,450,4.185
10,2388,111208,460,4.185
10,2388,113596,470,4.19
10,2386,115984,480,4.19
10,2384,118370,490,4.19
10,2384,120754,500,4.195
10,2382,123138,510,4.2
10,2382,125520,520,4.2
10,2379,127902,530,4.2
10,2379,130281,540,4.205
10,2378,132660,550,4.205
10,2376,135038,560,4.21
10,2375,137414,570,4.21
10,2374,139789,580,4.215
10,2373,142163,590,4.215
10,2372,144536,600,4.215
10,2370,146908,610,4.215
10,2369,149278,620,4.22
10,2368,151647,630,4.225
10,2367,154015,640,4.225
10,2366,156382,650,4.225
10,2364,158748,660,4.23
10,2363,161112,670,4.23
10,2362,163475,680,4.235
10,2361,165837,690,4.235
10,2360,168198,700,4.24
10,2359,170558,710,4.24
10,2357,172917,720,4.24
10,2356,175274,730,4.245
10,2355,177630,740,4.245
10,2354,179985,750,4.25
10,2353,182339,760,4.25
10,2351,184692,770,4.25
10,2350,187043,780,4.255
10,2350,189393,790,4.26
10,2348,191743,800,4.26
10,2346,194091,810,4.26
10,2346,196437,820,4.265
10,2345,198783,830,4.265
10,2343,201128,840,4.265
10,2342,203471,850,4.27
10,2341,205813,860,4.275
10,2340,208154,870,4.275
10,2339,210494,880,4.275
10,2338,212833,890,4.28
10,2336,215171,900,4.28
10,2335,217507,910,4.285
10,2335,219842,920,4.285
10,2333,222177,930,4.285
10,2332,224510,940,4.285
10,2330,226842,950,4.29
10,2330,229172,960,4.295
10,2328,231502,970,4.295
10,2328,233830,980,4.3
10,2326,236158,990,4.3
10,2325,238484,1000,4.3
10,2324,240809,1010,4.305
10,2323,243133,1020,4.305
10,2321,245456,1030,4.305
10,2321,247777,1040,4.31
10,2319,250098,1050,4.31
10,2319,252417,1060,4.315
10,2317,254736,1070,4.315
10,2316,257053,1080,4.315
10,2315,259369,1090,4.32
10,2313,261684,1100,4.32
10,2313,263997,1110,4.325
10,2312,266310,1120,4.325
10,2310,268622,1130,4.325
10,2310,270932,1140,4.33
10,2308,273242,1150,4.33
10,2307,275550,1160,4.335
10,2306,277857,1170,4.335
10,2305,280163,1180,4.34
10,2304,282468,1190,4.34
10,2302,284772,1200,4.34
10,2302,287074,1210,4.345
10,2300,289376,1220,4.345
10,2300,291676,1230,4.35
10,2298,293976,1240,4.35
10,2297,296274,1250,4.355
