purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,23858,23958,10,0.42
10,23758,47816,20,0.42
10,23659,71574,30,0.425
10,23560,95233,40,0.425
10,23462,118793,50,0.425
10,23365,142255,60,0.43
10,23268,165620,70,0.43
10,23172,188888,80,0.435
10,23076,212060,90,0.435
10,22982,235136,100,0.435
10,22887,258118,110,0.44
10,22793,281005,120,0.44
10,22701,303798,130,0.44
10,22608,326499,140,0.445
10,22516,349107,150,0.445
10,22425,371623,160,0.445
10,22334,394048,170,0.45
10,22244,416382,180,0.45
10,22154,438626,190,0.455
10,22066,460780,200,0.455
10,21977,482846,210,0.455
10,21889,504823,220,0.46
10,21802,526712,230,0.46
10,21715,548514,240,0.46
10,21628,570229,250,0.465
10,21543,591857,260,0.465
10,21458,613400,270,0.465
10,21373,634858,280,0.47
10,21289,656231,290,0.47
10,21206,677520,300,0.475
10,21122,698726,310,0.475
10,21040,719848,320,0.475
10,20958,740888,330,0.48
10,20876,761846,340,0.48
10,20795,782722,350,0.48
10,20714,803517,360,0.485
10,20635,824231,370,0.485
10,20555,844866,380,0.49
10,20475,865421,390,0.49
10,20397,885896,400,0.49
10,20319,906293,410,0.495
10,20242,926612,420,0.495
10,20164,946854,430,0.495
10,20087,967018,440,0.5
10,20011,987105,450,0.5
10,19935,1007116,460,0.505
10,19860,1027051,470,0.505
10,19784,1046911,480,0.505
10,19711,1066695,490,0.51
10,19636,1086406,500,0.51
10,19563,1106042,510,0.51
10,19489,1125605,520,0.515
10,19417,1145094,530,0.515
10,19344,1164511,540,0.52
10,19273,1183855,550,0.52
10,19201,1203128,560,0.52
10,19130,1222329,570,0.525
10,19059,1241459,580,0.525
10,18990,1260518,590,0.53
10,18919,1279508,600,0.53
10,18850,1298427,610,0.53
10,18781,1317277,620,0.535
10,18712,1336058,630,0.535
10,18644,1354770,640,0.54
10,18577,1373414,650,0.54
10,18508,1391991,660,0.54
10,18442,1410499,670,0.545
10,18376,1428941,680,0.545
10,18308,1447317,690,0.545
10,18243,1465625,700,0.55
10,18178,1483868,710,0.55
10,18112,1502046,720,0.555
10,18048,1520158,730,0.555
10,17983,1538206,740,0.555
10,17919,1556189,750,0.56
10,17856,1574108,760,0.56
10,17792,1591964,770,0.565
10,17729,1609756,780,0.565
10,17667,1627485,790,0.565
10,17604,1645152,800,0.57
10,17542,1662756,810,0.57
10,17481,1680298,820,0.575
10,17420,1697779,830,0.575
10,17358,1715199,840,0.575
10,17298,1732557,850,0.58
10,17238,1749855,860,0.58
10,17178,1767093,870,0.585
10,17119,1784271,880,0.585
10,17059,1801390,890,0.585
10,17001,1818449,900,0.59
10,16941,1835450,910,0.59
10,16884,1852391,920,0.595
10,16826,1869275,930,0.595
10,16768,1886101,940,0.595
10,16710,1902869,950,0.6
10,16654,1919579,960,0.6
10,16597,1936233,970,0.605
10,16541,1952830,980,0.605
10,16484,1969371,990,0.61
10,16429,1985855,1000,0.61
10,16374,2002284,1010,0.61
10,16318,2018658,1020,0.615
10,16263,2034976,1030,0.615
10,16209,2051239,1040,0.62
10,16154,2067448,1050,0.62
10,16101,2083602,1060,0.62
10,16047,2099703,1070,0.625
10,15993,2115750,1080,0.625
10,15940,2131743,1090,0.63
10,15888,2147683,1100,0.63
10,15834,2163571,1110,0.63
10,15783,2179405,1120,0.635
10,15730,2195188,1130,0.635
10,15679,2210918,1140,0.64
10,15627,2226597,1150,0.64
10,15577,2242224,1160,0.645
10,15525,2257801,1170,0.645
10,15474,2273326,1180,0.645
10,15424,2288800,1190,0.65
10,15374,2304224,1200,0.65
10,15324,2319598,1210,0.655
10,15275,2334922,1220,0.655
10,15225,2350197,1230,0.66
10,15176,2365422,1240,0.66
10,15127,2380598,1250,0.66
